year	kd
2019	Word-KD
2023	Word-KD
2022	Word-KD
2022	Seq-KD
2022	Word-KD, Seq-KD
2023	Word-KD
2020	Word-KD
2021	Word-KD
2024	Word-KD
2017	Word-KD, Seq-KD
2019	Seq-KD
2022	Seq-KD
2024	Seq-KD
2020	Word-KD
2021	Word-KD
2022	Word-KD
2023	Word-KD
2024	Word-KD
2023	Seq-KD
2023	Seq-KD
2023	Word-KD
2024	Seq-KD
2020	Seq-KD
2022	Seq-KD
2023	Word-KD, Seq-KD
2019	Word-KD
2020	Word-KD
2022	Word-KD
2021	Word-KD
2020	Seq-KD
2020	Seq-KD
2019	Word-KD
2022	Seq-KD
2023	Word-KD
2023	Seq-KD
2022	Seq-KD
2023	Seq-KD
2019	Feature-based KD
2021	Word-KD
2022	Word-KD
2023	Word-KD
2022	Seq-KD
2021	Seq-KD
2023	Seq-KD
2020	Seq-KD
2020	Seq-KD
2019	Seq-KD
2020	Seq-KD
2021	Seq-KD
2021	Seq-KD
2021	Seq-KD
2016	Word-KD, Seq-KD
2021	Word-KD, Seq-KD
2022	Word-KD, Seq-KD
2023	Word-KD
2023	Word-KD
2017	Seq-KD
2018	Word-KD
2022	Word-KD, Seq-KD
2020	Seq-KD
2020	Seq-KD
2023	Word-KD
2024	Seq-KD
2023	Seq-KD
2024	Seq-KD
2024	Seq-KD
2023	Word-KD
2021	Word-KD
2021	Seq-KD
2025	Seq-KD
2025	Seq-KD
2025	Seq-KD
2024	Seq-KD
2024	Seq-KD
2025	Seq-KD
2025	Word-KD
2024	Word-KD
2025	Seq-KD, Feature-based KD
2025	Word-KD, Feature-based KD
2021	Feature-based KD
2025	Word-KD, Seq-KD
2023	Seq-KD
2023	Seq-KD
2025	Seq-KD
2021	Seq-KD
2020	Seq-KD
2020	Word-KD
2020	Word-KD
2024	Seq-KD
2021	Word-KD
2024	Feature-based KD
2022	Word-KD
2024	Seq-KD
2021	Feature-based KD
2025	Word-KD
2024	Seq-KD
2020	Feature-based KD
2025	Seq-KD
2025	Feature-based KD
2020	Feature-based KD
2021	Seq-KD
2025	Seq-KD
2021	Seq-KD
2021	Seq-KD
